payment_number,year,payment,interest,principle,loan
248,21,2423.73,835.93,1587.80,221326.44
249,21,2423.73,829.97,1593.76,219732.69
250,21,2423.73,824.00,1599.73,218132.96
251,21,2423.73,818.00,1605.73,216527.23
252,21,2423.73,811.98,1611.75,214915.48
253,22,2423.73,805.93,1617.80,213297.68
254,22,2423.73,799.87,1623.86,211673.82
255,22,2423.73,793.78,1629.95,210043.86
256,22,2423.73,787.66,1636.06,208407.80
257,22,2423.73,781.53,1642.20,206765.60
258,22,2423.73,775.37,1648.36,205117.24
259,22,2423.73,769.19,1654.54,203462.70
260,22,2423.73,762.99,1660.74,201801.96
261,22,2423.73,756.76,1666.97,200134.99
262,22,2423.73,750.51,1673.22,198461.76
263,22,2423.73,744.23,1679.50,196782.27
264,22,2423.73,737.93,1685.80,195096.47
265,23,2423.73,731.61,1692.12,193404.35
266,23,2423.73,725.27,1698.46,191705.89
267,23,2423.73,718.90,1704.83,190001.06
268,23,2423.73,712.50,1711.23,188289.83
269,23,2423.73,706.09,1717.64,186572.19
270,23,2423.73,699.65,1724.08,184848.11
271,23,2423.73,693.18,1730.55,183117.56
272,23,2423.73,686.69,1737.04,181380.52
273,23,2423.73,680.18,1743.55,179636.97
274,23,2423.73,673.64,1750.09,177886.88
275,23,2423.73,667.08,1756.65,176130.22
276,23,2423.73,660.49,1763.24,174366.98
277,24,2423.73,653.88,1769.85,172597.13
278,24,2423.73,647.24,1776.49,170820.64
279,24,2423.73,640.58,1783.15,169037.49
280,24,2423.73,633.89,1789.84,167247.65
281,24,2423.73,627.18,1796.55,165451.10
282,24,2423.73,620.44,1803.29,163647.81
283,24,2423.73,613.68,1810.05,161837.76
284,24,2423.73,606.89,1816.84,160020.92
285,24,2423.73,600.08,1823.65,158197.27
286,24,2423.73,593.24,1830.49,156366.78
287,24,2423.73,586.38,1837.35,154529.43
288,24,2423.73,579.49,1844.24,152685.19
289,25,2423.73,572.57,1851.16,150834.03
290,25,2423.73,565.63,1858.10,148975.92
291,25,2423.73,558.66,1865.07,147110.86
292,25,2423.73,551.67,1872.06,145238.79
293,25,2423.73,544.65,1879.08,143359.71
294,25,2423.73,537.60,1886.13,141473.58
295,25,2423.73,530.53,1893.20,139580.37
296,25,2423.73,523.43,1900.30,137680.07
297,25,2423.73,516.30,1907.43,135772.64
298,25,2423.73,509.15,1914.58,133858.06
299,25,2423.73,501.97,1921.76,131936.30
300,25,2423.73,494.76,1928.97,130007.33
301,26,2423.73,487.53,1936.20,128071.13
302,26,2423.73,480.27,1943.46,126127.67
303,26,2423.73,472.98,1950.75,124176.92
304,26,2423.73,465.66,1958.07,122218.85
305,26,2423.73,458.32,1965.41,120253.44
306,26,2423.73,450.95,1972.78,118280.66
307,26,2423.73,443.55,1980.18,116300.49
308,26,2423.73,436.13,1987.60,114312.88
309,26,2423.73,428.67,1995.06,112317.83
310,26,2423.73,421.19,2002.54,110315.29
311,26,2423.73,413.68,2010.05,108305.24
312,26,2423.73,406.14,2017.58,106287.66
313,27,2423.73,398.58,2025.15,104262.51
314,27,2423.73,390.98,2032.74,102229.76
315,27,2423.73,383.36,2040.37,100189.40
316,27,2423.73,375.71,2048.02,98141.38
317,27,2423.73,368.03,2055.70,96085.68
318,27,2423.73,360.32,2063.41,94022.27
319,27,2423.73,352.58,2071.15,91951.13
320,27,2423.73,344.82,2078.91,89872.21
321,27,2423.73,337.02,2086.71,87785.51
322,27,2423.73,329.20,2094.53,85690.97
323,27,2423.73,321.34,2102.39,83588.58
324,27,2423.73,313.46,2110.27,81478.31
325,28,2423.73,305.54,2118.19,79360.13
326,28,2423.73,297.60,2126.13,77234.00
327,28,2423.73,289.63,2134.10,75099.90
328,28,2423.73,281.62,2142.10,72957.79
329,28,2423.73,273.59,2150.14,70807.65
330,28,2423.73,265.53,2158.20,68649.45
331,28,2423.73,257.44,2166.29,66483.16
332,28,2423.73,249.31,2174.42,64308.74
333,28,2423.73,241.16,2182.57,62126.17
334,28,2423.73,232.97,2190.76,59935.41
335,28,2423.73,224.76,2198.97,57736.44
336,28,2423.73,216.51,2207.22,55529.23
337,29,2423.73,208.23,2215.49,53313.73
338,29,2423.73,199.93,2223.80,51089.93
339,29,2423.73,191.59,2232.14,48857.79
340,29,2423.73,183.22,2240.51,46617.27
341,29,2423.73,174.81,2248.91,44368.36
342,29,2423.73,166.38,2257.35,42111.01
343,29,2423.73,157.92,2265.81,39845.20
344,29,2423.73,149.42,2274.31,37570.89
345,29,2423.73,140.89,2282.84,35288.05
346,29,2423.73,132.33,2291.40,32996.65
347,29,2423.73,123.74,2299.99,30696.66
